LastName,FirstName,AnnualSalary
Albert,Herb,75000
Benson,Alibaster,72000
Chandler,Frank,65000
Dotson,Edgar,94000
Eggleston,Umberto,81000
Franklin,Benjamin,120000
Gregory,Anthony,91000
Hansen,Yolanda,84000
Iglesies,Jesus,69000
Johnson,Howard,81000
Kingsley,Ben,101000
Lewellen,Michael,250000
Manson,Charles,35000
Newton,Isaac,79000
Olivander,John,88000
Peterson,Heathcliff,99000
Quackenbush,Katherine,59000
Rogers,Steve,77000
Schindler,Oscar,175000
Tanner,Hexiba,98000
Umbridge,Dolores,25000
Victorville,Melinda,49000
Wadsworth,Wayne,66000
Xander,Frederic,80000
Yearsley,Nancy,100000
Zanzibar,Charles,104000
